# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
    97.05%    96.79%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] .omp_outlined.
            |          
             --97.04%--.omp_outlined.

     1.08%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4d2
            |
            ---0x7f10bfb1d4d2

     1.08%     1.08%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794d0
            |
            ---0x7f10bfb1d4d2

     0.30%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d0f2
     0.29%     0.29%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790f0
     0.22%     0.20%  nbody3D_1_CLANG  libc.so.6              [.] __vfprintf_internal
     0.19%     0.17%  nbody3D_1_CLANG  libc.so.6              [.] _IO_default_xsputn
     0.15%     0.15%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000d2640
     0.15%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb76642
     0.14%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] asm_common_interrupt
     0.14%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] common_interrupt
     0.14%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __common_interrupt
     0.14%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] handle_irq_event
     0.14%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] handle_fasteoi_irq
     0.13%     0.01%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] .omp_outlined..2
     0.13%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __handle_irq_event_percpu
     0.12%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmpc_fork_call
     0.11%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0000000000000000
     0.08%     0.08%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_gpio_community_irq_handler
     0.08%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_gpio_irq
     0.08%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4d9
     0.08%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.08%     0.08%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794d2
     0.07%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.06%     0.05%  nbody3D_1_CLANG  libomp.so.5            [.] __kmp_fork_call
     0.05%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] schedule
     0.05%     0.01%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __schedule
     0.05%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4db
     0.05%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.05%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] hrtimer_interrupt
