# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.91%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa7ba
            |
            ---0x7ff13bcfa7ba

     0.13%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.12%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_syscall_64
     0.10%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa89d
     0.09%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa687
     0.07%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa602
     0.07%     0.07%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020600
     0.06%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_futex
     0.06%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     0.06%     0.06%  nbody3D_1_GCC_O  libc.so.6            [.] malloc_consolidate
     0.06%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     0.06%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_futex
     0.05%     0.05%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207ba
     0.05%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa7be
     0.04%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     0.04%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] hrtimer_interrupt
     0.04%     0.04%  nbody3D_1_GCC_O  libc.so.6            [.] _int_free
     0.04%     0.04%  nbody3D_1_GCC_O  libc.so.6            [.] __libc_memalign
     0.04%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] entry_SYSCALL_64
     0.03%     0.02%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] futex_wake
     0.03%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000004000
     0.03%     0.03%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] GOMP_atomic_start
     0.03%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.03%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __hrtimer_run_queues
